 iteration a b error
 0 0.0 0.0 411687.91862195847
 1 0.3530279129538485 -0.10018583523987701 149288.65206557827
 2 0.7012353613948932 -0.19876849230610816 54019.925353583
 3 1.0404357915292906 -0.29403517910049715 19479.204512783403
 4 1.3637617879129635 -0.38317356259462443 6983.36212814165
 5 1.658820915951054 -0.461110028127262 2480.4465109044813
 6 1.902371886166975 -0.5183236425207021 869.2797003058549
 7 2.0506630164264124 -0.5368602892032541 299.6844937221737
 8 2.027092250743145 -0.4851965480616336 101.58978695585905
 9 1.7463310314793574 -0.3280705383205138 33.17179424040741
 10 1.3079511876571388 -0.10689647837322624 9.434605298019147
 11 0.989985251124768 0.06049249449526073 1.9992116079554723
 12 0.8036968300382834 0.16447218287440446 0.23378445700407566
 13 0.7216190602247053 0.21213229593154598 0.00855566522637137
 14 0.7049573214326459 0.2220327256067018 0.0013761824254382457
 15 0.7042882873805133 0.22243427054901294 0.00136499834241827
