 x1 yExp expTemp calcTemp yCalc
 0.0 0.0 373.15 374.57858909596814 0.0
 0.00584 0.045705 372.4 372.85146133084316 0.06213538910200355
 0.012 0.114 370.05 371.24283855705744 0.11699706027203197
 0.026 0.157 368.85 368.23314395419413 0.2121015040010108
 0.05 0.293 365.35 364.52572258220147 0.3162043099913019
 0.0738 0.3665 363.3 361.96882304878517 0.3796664454043544
 0.102 0.43 360.65 359.7756759806266 0.42847231429774313
 0.1176 0.4855 359.65 358.8103318538005 0.4482332293030504
 0.14 0.514 357.95 357.62924506409746 0.4709576172748671
 0.15 0.522 357.45 357.161004574184 0.47953445228798386
 0.175 0.56 356.05 356.1068420460468 0.49801476851844106
 0.2 0.59 354.65 355.17526388148207 0.5135294135813858
 0.3 0.675 351.15 352.09307748541727 0.5626393354119981
 0.4 0.735 348.55 349.48748054940137 0.6076247126693376
 0.473 0.765 346.85 347.74728084739814 0.6426371463236732
 0.526 0.794 345.75 346.554642991436 0.6699204560983404
 0.54 0.801 345.55 346.2491366288594 0.6774194233937099
 0.565 0.805 345.15 345.713365844616 0.6911269202696051
 0.585 0.816 344.65 345.2937231049291 0.7023907883697611
 0.6 0.831 344.55 344.98420100547025 0.7110152934905276
 0.662 0.857 343.75 343.75189435841077 0.7483010841656551
 0.675 0.865 343.05 343.5030529754886 0.7564583710829326
 0.7 0.874 342.75 343.0337392467355 0.7724807257219767
 0.714 0.878 342.25 342.77619368287543 0.7816463517697899
 0.8 0.918 340.95 341.2759655833447 0.8410280909765818
 0.85 0.93 340.05 340.4670511546268 0.8780120863027322
 0.8808 0.9417 339.65 339.9912752535447 0.901703805919058
 0.89 0.956 339.35 339.85243125764003 0.9089157131779687
 0.9 0.961 339.25 339.703202706043 0.9168254539567305
 0.92 0.965 338.85 339.4099786183907 0.932866376259357
 0.95 0.981 338.55 338.9830504197439 0.9574831438465569
 0.9657 0.9569 338.1 338.76570541278454 0.970632503920752
 0.9871 0.9778 337.85 338.4760725248734 0.9888518745806858
 1.0 1.0 337.75 338.3051250789851 1.0
