 temperature expPressure calcPressure
 263.15 205.90559305981742 214.99956557939146
 269.5523333333333 348.9985729782573 359.8512903688203
 275.95466666666664 574.6207440372377 586.1735216700876
 282.35699999999997 921.0285325058956 931.0795804269189
 288.7593333333333 1439.9443135988283 1444.6700770155671
 295.16166666666663 2199.7329196773235 2193.1488334028095
 301.56399999999996 3288.887382252035 3262.2802301862553
 307.9663333333333 4819.76087987294 4761.137227212209
 314.3686666666666 6932.467785653395 6826.073775369962
 320.77099999999996 9798.866741335012 9624.842954526199
 327.1733333333333 13626.533416053227 13360.773784716554
 333.5756666666666 18662.630224423894 18276.915760902106
 339.97799999999995 25197.584594653348 24660.060876589567
 346.3803333333333 33568.495893972104 32844.55798976156
 352.7826666666666 44162.203102176405 43215.84329942895
 359.18499999999995 57417.95989364994 56213.62266585256
 365.5873333333333 73829.68000095856 72334.65560590645
 371.9896666666666 93947.73265950778 92135.10606452815
 378.39199999999994 118380.28471774078 116232.44057865877
 384.79433333333327 147794.20190430374 145306.86939156568
 391.1966666666666 182915.5361820969 180102.3397749152
 397.59899999999993 224529.63865593908 221427.10278204863
 404.00133333333326 273480.9478596812 270153.88457907515
 410.4036666666666 330672.51129895536 327219.70124100096
 416.806 397065.3038637586 393625.3614658132
 423.2083333333333 473677.4102527962 470434.70517480257
 429.61066666666665 561583.1400513287 558773.6276421546
 436.013 661912.1438177295 659828.938914722
 442.4153333333333 775848.5967366198 774847.1069357513
 448.81766666666664 904630.5133831269 905132.9310973401
 455.21999999999997 1049549.253205795 1052048.18916547
 461.6223333333333 1211949.2717585338 1217010.2980674321
 468.02466666666663 1393228.1677546136 1401491.024853718
 474.42699999999996 1594837.0709116028 1607015.2806666733
 480.8293333333333 1818281.410507077 1835160.0267420502
 487.2316666666666 2065122.0997397408 2087553.3193310248
 493.63399999999996 2336977.166526592 2365873.5139655075
 500.0363333333333 2635523.857368289 2671848.6518591973
 506.4386666666666 2962501.237462492 3007256.0442218673
 512.8409999999999 3319713.307385784 3373922.0708747497
 519.2433333333333 3709032.6544374675 3773722.2072371496
 525.6456666666666 4132404.6551480293 4208581.29274002
 532.048 4591852.244507583 4680474.053013521
 538.4503333333332 5089481.267146211 5191425.887887785
 544.8526666666667 5627486.425986275 5743513.937329953
 551.2549999999999 6208157.844750147 6338868.437907499
 557.6573333333333 6833888.262135141 6979674.383216437
 564.0596666666665 7507180.877405631 7668173.502938355
 570.462 8230657.869603254 8406666.581403332
 576.8643333333333 9007069.615485525 9197516.106188344
 583.2666666666667 9839304.634666922 1.0043149336961752E7
 589.669 1.073040029423208E7 1.0946061725740738E7
 596.0713333333333 1.168355430929871E7 1.1908820784415707E7
 602.4736666666666 1.2702137080623223E7 1.2934070403065002E7
 608.876 1.378970491537605E7 1.4024535658931509E7
 615.2783333333333 1.495001418262996E7 1.5183028156626144E7
 621.6806666666666 1.6187036460979233E7 1.6412451946119593E7
 628.083 1.7504974741965346E7 1.771581007199828E7
 634.4853333333333 1.8908280759747718E7 1.909621181547953E7
 640.8876666666666 2.0401673524664633E7 2.0556880700304218E7
