 enthalpy p
 -2.0378211252853176E8 138249.9935178761
 -1.7260601134441704E8 138249.9935178761

 -2.0275420712855935E8 153802.63097397672
 -1.7184955887701932E8 153802.63097397672

 -2.0171669682213804E8 170689.04412878273
 -1.710898613288799E8 170689.04412878273

 -2.0066946907759282E8 188985.7950531604
 -1.7032715570601058E8 188985.7950531604

 -1.9961240354482466E8 208771.43133875265
 -1.6956168875494704E8 208771.43133875265

 -1.9854537102406892E8 230126.462782104
 -1.6879371765320066E8 230126.462782104

 -1.9746823233081195E8 253133.3411700722
 -1.6802351083072683E8 253133.3411700722

 -1.963808370385448E8 277876.44345349364
 -1.6725134893938896E8 277876.44345349364

 -1.9528302207752424E8 304442.05881630804
 -1.664775259918696E8 304442.05881630804

 -1.9417461016328084E8 332918.3794188011
 -1.657023506931879E8 332918.3794188011

 -1.930554080231894E8 363395.49568787793
 -1.6492614799764314E8 363395.49568787793

 -1.9192520438258845E8 395965.39594999957
 -1.6414926092682344E8 395965.39594999957

 -1.9078376766339096E8 430721.97079332813
 -1.6337205269519064E8 430721.97079332813

 -1.8963084333722758E8 467761.02234269737
 -1.6259490919993737E8 467761.02234269737

 -1.8846615086128914E8 507180.27864987554
 -1.6181824194583997E8 507180.27864987554

 -1.8728938010708186E8 549079.4133973777
 -1.6104249149380374E8 549079.4133973777

 -1.861001871689957E8 593560.0711133118
 -1.602681315451863E8 593560.0711133118

 -1.8489818940889117E8 640725.898097087
 -1.594956738046898E8 640725.898097087

 -1.8368295955217844E8 690682.5792614062
 -1.5872567380542892E8 690682.5792614062

 -1.8245401859610182E8 743537.8811047756
 -1.5795873793456757E8 743537.8811047756

 -1.812108272164713E8 799401.7010407258
 -1.571955319724556E8 799401.7010407258

 -1.7995277525645626E8 858386.123660143
 -1.564367915623079E8 858386.123660143

 -1.7867916873694226E8 920605.4821763509
 -1.5568333516156134E8 920605.4821763509

 -1.773892136249868E8 986176.4303508631
 -1.5493608025915536E8 986176.4303508631

 -1.7608199529916152E8 1055218.0185459552
 -1.5419606389092147E8 1055218.0185459552

 -1.7475645221633026E8 1127851.779207293
 -1.5346446896904677E8 1127851.779207293

 -1.7341134162505248E8 1204201.8201735513
 -1.5274265857153803E8 1204201.8201735513

 -1.720451941537858E8 1284394.9265453909
 -1.5203222136439824E8 1284394.9265453909

 -1.7065625248517722E8 1368560.6715617941
 -1.5133503294477877E8 1368560.6715617941

 -1.6924238667622945E8 1456831.5369782539
 -1.506533405449316E8 1456831.5369782539

 -1.6780097417564845E8 1549343.043492939
 -1.499898830452896E8 1549343.043492939

 -1.6632872459433854E8 1646233.8915006225
 -1.493480662382114E8 1646233.8915006225

 -1.648214143894486E8 1747646.1151102623
 -1.4873222819707194E8 1747646.1151102623

 -1.6327346715573946E8 1853725.2433606766
 -1.481480590106533E8 1853725.2433606766

 -1.6167725260288867E8 1964620.4807933234
