 entropy p
 85949.34687255547 134770.8495269488
 194628.2939581085 134770.8495269488

 87845.00393086282 181353.12322326234
 192895.30327305023 181353.12322326234

 89709.53237207061 240335.51841892547
 191264.99862127312 240335.51841892547

 91545.65754776169 314024.434670569
 189727.6995219508 314024.434670569

 93356.01238366516 404956.57224912854
 188274.42982015968 404956.57224912854

 95143.15903399407 515896.12736229884
 186896.84213157173 515896.12736229884

 96909.61058881182 649830.5006913895
 185587.14823830518 649830.5006913895

 98657.85335390196 809964.9736504011
 184338.0537547779 809964.9736504011

 100390.37029499575 999716.7909934947
 183142.6956148746 999716.7909934947

 102109.66634790442 1222709.0575304683
 181994.5810488609 1222709.0575304683

 103818.29645857096 1482764.8153816888
 180887.52673675312 1482764.8153816888

 105518.89744985114 1783901.6243595036
 179815.59670524084 1783901.6243595036

 107214.22514712378 2130326.922984198
 178773.0372920353 2130326.922984198

 108907.19867932811 2526434.4059959967
 177754.20707344922 2526434.4059959967

 110600.9545805913 2976801.620552501
 176753.49896871555 2976801.620552501

 112298.91437129595 3486188.9463986955
 175765.25073485856 3486188.9463986955

 114004.87089325399 4059540.1134083
 174783.63843539727 4059540.1134083

 115723.10115045808 4701984.384568421
 173802.54504268922 4701984.384568421

 117458.51735254991 5418840.529838394
 172815.39236754065 5418840.529838394

 119216.87434385733 6215622.715908516
 171814.9180301215 6215622.715908516

 121005.06265309826 7098048.427577372
 170792.86817089608 7098048.427577372

 122831.5360294363 8072048.595869198
 169739.55686656132 8072048.595869198

 124706.9589947148 9143780.051941393
 168643.20673080406 9143780.051941393

 126645.23255644803 1.0319640528073542E7
 167488.9123939487 1.0319640528073542E7

 128665.21093144575 1.1606286418534081E7
 166256.91395805517 1.1606286418534081E7

 130793.78312985114 1.3010653571768641E7
 164919.50649439797 1.3010653571768641E7

 133071.94172915706 1.453998143793052E7
 163434.96317996117 1.453998143793052E7

 135568.39274880823 1.6201840962435815E7
 161733.91809311567 1.6201840962435815E7

 138416.79931893703 1.800416669747242E7
 159682.11590849256 1.800416669747242E7

 141962.12628282397 1.9955293702843122E7
 156934.0612649679 1.9955293702843122E7

 149814.16734696444 2.206399999999993E7
 149814.16734696444 2.206399999999993E7

 85949.34687255547 134770.8495269488
 85928.53199649161 1086385.1545427141
 85907.78040716771 2037999.4595584795
 85887.09168081495 2989613.7645742446
 85866.46539808637 3941228.0695900097
 85845.9011440473 4892842.374605775
 85825.3985081045 5844456.67962154
 85804.95708394678 6796070.984637305
 85784.5764694841 7747685.28965307
 85764.25626678666 8699299.594668835
 85743.99608202613 9650913.8996846
 85723.79552541749 1.0602528204700366E7
 85703.65421116236 1.155414250971613E7
 85683.57175739348 1.2505756814731896E7
 85663.54778611909 1.3457371119747661E7
 85643.58192317025 1.4408985424763426E7
 85623.67379814578 1.5360599729779191E7
 85603.82304436303 1.6312214034794956E7
 85584.02929880418 1.726382833981072E7
 85564.29220206766 1.8215442644826487E7
 85544.6113983186 1.916705694984225E7
 85524.98653523935 2.0118671254858017E7
 85505.41726398322 2.1070285559873782E7
 85485.90323912687 2.2021899864889547E7
 85466.44411862428 2.2973514169905312E7
 85447.03956376169 2.3925128474921077E7
 85427.6892391131 2.4876742779936843E7
 85408.3928124969 2.5828357084952608E7
 85389.14995493212 2.6779971389968373E7
 85369.960340597 2.7731585694984138E7
 85350.82364678672 2.8683199999999903E7

 194628.2939581085 134770.8495269488
 194656.56674536265 134321.61336185897
 194684.9324904543 133872.37719676914
 194713.39181862192 133423.14103167932
 194741.94536143032 132973.9048665895
 194770.59375685584 132524.66870149967
 194799.33764937386 132075.43253640985
 194828.17769004698 131626.19637132002
 194857.1145366154 131176.9602062302
 194886.14885358844 130727.72404114038
 194915.28131233764 130278.48787605055
 194944.5125911918 129829.25171096073
 194973.84337553324 129380.0155458709
 195003.27435789612 128930.77938078108
 195032.806238066 128481.54321569126
 195062.4397231819 128032.30705060143
 195092.17552783916 127583.07088551161
 195122.01437419507 127133.83472042179
 195151.95699207566 126684.59855533196
 195182.00411908486 126235.36239024214
 195212.1565007153 125786.12622515231
 195242.41489046125 125336.89006006249
 195272.78004993353 124887.65389497267
 195303.25274897658 124438.41772988284
 195333.83376578745 123989.18156479302
 195364.52388703712 123539.9453997032
 195395.32390799402 123090.70923461337
 195426.23463264978 122641.47306952355
 195457.2568738472 122192.23690443372
 195488.3914534107 121743.0007393439
 195519.63920227918 121293.76457425408

 87845.00393086282 181353.12322326234
 87823.08090019313 1131414.6857824838
 87801.22862888407 2081476.2483417052
 87779.44661284758 3031537.8109009266
 87757.73435363363 3981599.373460148
 87736.0913583678 4931660.936019369
 87714.51713966059 5881722.498578591
 87693.01121553204 6831784.061137813
 87671.57310932294 7781845.623697035
 87650.20234961653 8731907.186256256
 87628.89847016043 9681968.748815477
 87607.66100978735 1.0632030311374698E7
 87586.48951234094 1.1582091873933919E7
 87565.38352659941 1.253215343649314E7
 87544.34260620389 1.348221499905236E7
 87523.3663095856 1.4432276561611582E7
 87502.45419989609 1.5382338124170803E7
 87481.60584493767 1.6332399686730023E7
 87460.82081709609 1.7282461249289244E7
 87440.09869327312 1.8232522811848465E7
 87419.43905482208 1.9182584374407686E7
 87398.8414874833 2.0132645936966907E7
 87378.30558132121 2.108270749952613E7
 87357.83093066231 2.203276906208535E7
 87337.41713403503 2.298283062464457E7
 87317.06379410933 2.393289218720379E7
 87296.77051763884 2.4882953749763012E7
 87276.53691540325 2.5833015312322233E7
 87256.36260215132 2.6783076874881454E7
 87236.2471965464 2.7733138437440675E7
 87216.19032111099 2.8683199999999896E7

 192895.30327305023 181353.12322326234
 192989.77684459568 179351.14460162874
 193085.2856454563 177349.16597999513
 193181.85320001395 175347.18735836152
 193279.50384303494 173345.20873672792
 193378.26275732584 171343.2301150943
 193478.15601360335 169341.2514934607
 193579.21061273417 167339.2728718271
 193681.45453051734 165337.2942501935
 193784.91676519456 163335.31562855988
 193889.62738789018 161333.33700692627
 193995.61759620046 159331.35838529267
 194102.9197711714 157329.37976365906
 194211.56753792468 155327.40114202545
 194321.59583021686 153325.42252039185
 194433.04095924087 151323.44389875824
 194545.9406870097 149321.46527712463
 194660.33430469286 147319.48665549103
 194776.26271631246 145317.50803385742
 194893.76852824524 143315.5294122238
 195012.89614502023 141313.5507905902
 195133.69187195145 139311.5721689566
 195256.20402519897 137309.593547323
 195380.48304991343 135307.61492568938
 195506.58164718663 133305.63630405578
 195634.5549106081 131303.65768242217
 195764.46047331314 129301.67906078856
 195896.35866650497 127299.70043915496
