 gibbs p
 -3.1351070678520447E8 134770.8495269488
 -3.135107067852044E8 134770.8495269488

 -3.1427601450092256E8 181353.12322326234
 -3.142760145009225E8 181353.12322326234

 -3.1505760590553445E8 240335.51841892547
 -3.150576059055345E8 240335.51841892547

 -3.158551591404066E8 314024.434670569
 -3.1585515914040667E8 314024.434670569

 -3.1666836847722596E8 404956.57224912854
 -3.1666836847722596E8 404956.57224912854

 -3.17496943196266E8 515896.12736229884
 -3.1749694319626606E8 515896.12736229884

 -3.1834060662266445E8 649830.5006913895
 -3.1834060662266445E8 649830.5006913895

 -3.191990953015157E8 809964.9736504011
 -3.1919909530145335E8 809964.9736504011

 -3.200721582942226E8 999716.7909934947
 -3.2007215829421455E8 999716.7909934947

 -3.20959556580338E8 1222709.0575304683
 -3.2095955658033013E8 1222709.0575304683

 -3.2186106255100906E8 1482764.8153816888
 -3.218610625509345E8 1482764.8153816888

 -3.227764595819853E8 1783901.6243595036
 -3.2277645958178145E8 1783901.6243595036

 -3.237055416759692E8 2130326.922984198
 -3.237055416755892E8 2130326.922984198

 -3.2464811316579276E8 2526434.4059959967
 -3.246481131657927E8 2526434.4059959967

 -3.2560398847141635E8 2976801.620552501
 -3.2560398847141635E8 2976801.620552501

 -3.265729919053644E8 3486188.9463986955
 -3.265729919053644E8 3486188.9463986955

 -3.275549575222321E8 4059540.1134083
 -3.275549575222322E8 4059540.1134083

 -3.285497290093247E8 4701984.384568421
 -3.285497290093248E8 4701984.384568421

 -3.295571596164104E8 5418840.529838394
 -3.295571596164104E8 5418840.529838394

 -3.305771121235089E8 6215622.715908516
 -3.30577112122273E8 6215622.715908516

 -3.3160945884699625E8 7098048.427577372
 -3.316094588459159E8 7098048.427577372

 -3.3265408168377566E8 8072048.595869198
 -3.326540816829428E8 8072048.595869198

 -3.33710872196356E8 9143780.051941393
 -3.337108721958245E8 9143780.051941393

 -3.347797317403089E8 1.0319640528073542E7
 -3.347797317400675E8 1.0319640528073542E7

 -3.358605716377478E8 1.1606286418534081E7
 -3.3586057163770455E8 1.1606286418534081E7

 -3.369533134009968E8 1.3010653571768641E7
 -3.3695331340098643E8 1.3010653571768641E7

 -3.3805788901173323E8 1.453998143793052E7
 -3.3805788901155084E8 1.453998143793052E7

 -3.391742412620834E8 1.6201840962435815E7
 -3.3917424126154286E8 1.6201840962435815E7

 -3.4030232416555035E8 1.800416669747242E7
 -3.4030232416456234E8 1.800416669747242E7

 -3.414421034472747E8 1.9955293702843122E7
 -3.414421034459582E8 1.9955293702843122E7

 -3.4259355711926377E8 2.206399999999993E7
 -3.4259355711926377E8 2.206399999999993E7

 -3.1351070678520447E8 134770.8495269488
 -3.134891039222536E8 1086385.1545427141
 -3.134675067490969E8 2037999.4595584795
 -3.134459152416415E8 2989613.7645742446
 -3.134243293759774E8 3941228.0695900097
 -3.134027491283748E8 4892842.374605775
 -3.1338117447528213E8 5844456.67962154
 -3.1335960539332426E8 6796070.984637305
 -3.1333804185930043E8 7747685.28965307
 -3.133164838501822E8 8699299.594668835
 -3.1329493134311193E8 9650913.8996846
 -3.132733843154005E8 1.0602528204700366E7
 -3.132518427445256E8 1.155414250971613E7
 -3.132303066081301E8 1.2505756814731896E7
 -3.1320877588401985E8 1.3457371119747661E7
 -3.131872505501625E8 1.4408985424763426E7
 -3.1316573058468515E8 1.5360599729779191E7
 -3.131442159658729E8 1.6312214034794956E7
 -3.131227066721675E8 1.726382833981072E7
 -3.1310120268216497E8 1.8215442644826487E7
 -3.130797039746146E8 1.916705694984225E7
 -3.13058210528417E8 2.0118671254858017E7
 -3.1303672232262254E8 2.1070285559873782E7
 -3.1301523933642995E8 2.2021899864889547E7
 -3.1299376154918444E8 2.2973514169905312E7
 -3.129722889403766E8 2.3925128474921077E7
 -3.129508214896404E8 2.4876742779936843E7
 -3.129293591767522E8 2.5828357084952608E7
 -3.12907901981629E8 2.6779971389968373E7
 -3.128864498843268E8 2.7731585694984138E7
 -3.1286500286503994E8 2.8683199999999903E7

 -3.135107067852044E8 134770.8495269488
 -3.1352121248599863E8 134321.61336185897
 -3.1353175377030367E8 133872.37719676914
 -3.1354233087731284E8 133423.14103167932
 -3.135529440486396E8 132973.9048665895
 -3.135635935283504E8 132524.66870149967
 -3.13574279562998E8 132075.43253640985
 -3.1358500240165514E8 131626.19637132002
 -3.135957622959492E8 131176.9602062302
 -3.136065595000975E8 130727.72404114038
 -3.136173942709422E8 130278.48787605055
 -3.136282668679875E8 129829.25171096073
 -3.136391775534358E8 129380.0155458709
 -3.136501265922258E8 128930.77938078108
 -3.136611142520702E8 128481.54321569126
 -3.1367214080349493E8 128032.30705060143
