 Temperature experimentalPressure calculatedPressure error
 159.05 6.9617906487286E-5 0.016116800813283916 230.50366947945002
 167.98000000000002 7.033731503295188E-4 0.07388571937762538 104.04483906303663
 176.91000000000003 0.005432696953740088 -0.11985779300692206 -23.062300553025903
 185.84 0.03341553355576319 0.04691289814674162 0.4039248563382743
 194.77 0.16919749180594765 0.26698302929932843 0.577937275840536
 203.70000000000002 0.7247231227242785 1.0663871732827759 0.4714408024876608
 212.63 2.685748753983915 3.730505285290781 0.3890000990439343
 221.56 8.774762386197153 11.609332965717964 0.3230367336190935
 230.49 25.6768659502277 32.604167955296 0.2697876765215915
 239.42000000000002 68.20095641749404 83.64548523007811 0.22645619099591444
 248.35000000000002 166.3121839691932 198.06549095221126 0.1909259215121598
 257.28 375.99038268962124 436.7394898639906 0.16157090705300717
 266.21000000000004 794.6836515114724 903.6562743018999 0.1371270474523589
 275.14 1581.7278934979545 1766.1630141680728 0.11660357096077019
 284.07 2983.543341877206 3279.5728521420165 0.09922078426336946
 293.0 5362.79705538825 5815.23025622541 0.08436515425892907
 301.93 9230.154976726259 9890.62634630682 0.07155582666227533
 310.86 15276.845191437229 16199.85266207789 0.060418722522501765
 319.79 24406.08517469457 25642.637682436445 0.05066574581260552
 328.72 37761.5109465322 39350.42425827978 0.042077588314656564
 337.65 56751.05939124563 58708.36091576295 0.034489250870605725
 346.58000000000004 83065.23640112719 85372.60532436836 0.027777792771199048
 355.51 118689.27549396614 121282.87804975871 0.021852037978986796
 364.44 165909.2758903219 168670.68053925197 0.016644064258080158
 373.37 227312.93948210802 230063.95500329233 0.012102326983461684
 382.3 305785.9558678419 308289.1994033357 0.008186260642315674
 391.23 404505.38854731753 406472.167837446 0.004862183164460798
 400.15999999999997 526931.5882683981 528038.310905565 0.0021003156041638693
 409.09000000000003 676800.2119228877 676714.0743049108 -1.272718543218846E-4
 418.02 858115.8783037064 856530.1086131537 -0.0018479668429949353
 426.95 1075148.8718502366 1071827.376194353 -0.0030893355728193878
 435.88 1332436.139718491 1327267.0939581054 -0.0038793947464360614
 444.81 1634787.6416013564 1627845.439781715 -0.004246546550132518
 453.74 1987298.9272398406 1978913.9888194737 -0.0042192637984325805
 462.67 2395370.650225565 2386206.945492821 -0.003825589468536364
 471.6 2864735.5903109787 2855876.410704272 -0.003092494691890617
 480.53000000000003 3401493.6573624345 3394537.188658708 -0.002045121762514446
 489.46 4012155.29199081 4009323.017581301 -7.059234260356618E-4
 498.39 4703693.661645213 4707956.638748505 9.063041537022518E-4
 507.32 5483606.075553147 5498836.850805386 0.0027775108281647446
